"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000334115728344855,0.296436033707646,0.454,0.219,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000066726252107751,"7","CAPRIN1"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000523838643220484,0.464730738479837,0.282,0.117,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104615815437563,"7","MED29"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000560096958845641,0.28514922296391,0.412,0.19,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111856963651063,"7","CYB561D2"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000160899371196127,0.407977391594201,0.365,0.167,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000321332134215784,"7","SMAD3"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000178874843833621,0.269447146141572,0.627,0.322,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000357230950620125,"7","PPP1R7"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000233316457420467,0.469698870056955,0.251,0.1,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000465956297114414,"7","AGPS"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000235854834789423,0.352349002999989,0.347,0.155,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000471025690557957,"7","PML"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000284022357845253,0.324970352618917,0.386,0.177,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000567221050852754,"7","RAE1"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000332700487632015,0.40697965571499,0.313,0.136,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000664436143849896,"7","UHRF1BP1L"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000341935928163021,0.333916343406229,0.428,0.203,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000068288024213437,"7","HSF1"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000388409293749118,0.404955108748656,0.336,0.149,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000775692200546363,"7","DDX49"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000393701838345452,0.4011243737863,0.281,0.116,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000786261941359703,"7","MRPS25"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000653764440480913,0.306798516236783,0.903,0.57,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000130563296408443,"7","NDUFB2"
